,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Positive affect,Negative affect,Confidence in national government
536,Italy,2008,6.779774188999999,10.53144073,0.87966311,71.66785431,0.543076873,0.636669159,0.267580599,0.36311656200000003
537,Italy,2009,6.3338003160000005,10.47051144,0.880312502,71.80085754,0.700550497,0.7754571440000001,0.27937772899999996,0.399521708
538,Italy,2010,6.354238033,10.48439598,0.8723841309999999,72.15266418,0.737738907,0.596380711,0.235879943,0.333916396
539,Italy,2011,6.057086468,10.4885273,0.913309336,72.28565979,0.567738414,0.6583942770000001,0.265567929,0.25955969100000004
540,Italy,2012,5.8393139839999995,10.45724773,0.86948663,72.33071136,0.570094943,0.66976124,0.387652248,0.28069460399999996
541,Italy,2013,6.009373665,10.42802715,0.916296065,72.37575531,0.499168754,0.778827429,0.35661619899999997,0.145972148
542,Italy,2014,6.026585102,10.40544128,0.89789933,72.42080688,0.623531222,0.7160642740000001,0.35601961600000004,0.309035748
543,Italy,2015,5.847683907,10.39468098,0.9089865090000001,72.46585846,0.5747657420000001,0.6917721029999999,0.329209089,0.260625869
789,Netherlands,2005,7.463979244,10.6876421,0.9473579529999999,69.55049896,0.901007771,0.869353354,0.23279471699999998,0.429006547
790,Netherlands,2007,7.4518795010000005,10.75475883,0.9438540940000001,70.20897675,0.8960180879999999,0.817750037,0.213335603,0.661945999
791,Netherlands,2008,7.631011963,10.7677145,0.9442022440000001,70.34366608,0.8832872509999999,0.7881947159999999,0.181690425,0.617428839
792,Netherlands,2010,7.501875877000001,10.73296738,0.9565368890000001,70.73917389,0.921448231,0.8532338140000001,0.206079304,0.636186302
793,Netherlands,2011,7.563797951000001,10.74480247,0.938396096,71.17958832,0.92543155,0.8627232309999999,0.181386188,0.603366792
794,Netherlands,2012,7.470715522999999,10.73047543,0.9388846759999999,71.09193420000001,0.8771186470000001,0.860640585,0.226289868,0.574513912
795,Netherlands,2013,7.406550407,10.72256088,0.9247054459999999,71.09193420000001,0.9189958570000001,0.866824448,0.23544322,0.542986929
796,Netherlands,2014,7.32118845,10.7296648,0.9089957479999999,71.09193420000001,0.910179615,0.867766142,0.220656529,0.525242269
797,Netherlands,2015,7.324437141000001,10.74862385,0.8790104390000001,71.09193420000001,0.903978765,0.834133685,0.20212863399999997,0.579621017
905,Poland,2005,5.587209225,9.740202904,0.9215276240000001,65.25549316,0.782473147,0.715110958,0.282439232,0.06876874
906,Poland,2007,5.886137486,9.871006966,0.912639678,65.4719696,0.772223353,0.760025561,0.237598762,0.18788348100000002
907,Poland,2009,5.7720274929999995,9.934649467,0.9167981740000001,65.86458588,0.820649087,0.6903505329999999,0.245965257,0.284511507
908,Poland,2010,5.8870296479999995,9.973826407999999,0.95506531,66.34422302,0.794900477,0.736897647,0.234237015,0.333801061
909,Poland,2011,5.646204947999999,10.02215958,0.9045786259999999,66.77928162,0.868148923,0.725359917,0.22381022600000003,0.27237618
910,Poland,2012,5.87593174,10.03765869,0.9359238740000001,66.82385254,0.811301708,0.7874891759999999,0.266746789,0.26862874600000003
911,Poland,2013,5.746131897000001,10.05082989,0.911934912,66.86842346,0.775931358,0.784124315,0.241980955,0.163588136
912,Poland,2014,5.750282287999999,10.08480167,0.923642278,66.91298676,0.8753570909999999,0.776996672,0.222643748,0.252522856
913,Poland,2015,6.007021904,10.12024021,0.8930904270000001,66.95755768,0.793462157,0.73438257,0.240432039,0.211427912
1043,Spain,2005,7.152785777999999,10.41562176,0.9610428809999999,71.37150574,0.916164696,0.775784314,0.240642577,0.52784574
1044,Spain,2007,6.994614601,10.4580965,0.9568585159999999,71.99684906,0.78208214,0.763125002,0.263592541,0.47624892
1045,Spain,2008,7.2944726939999995,10.45324135,0.9482705,72.26609039,0.83378607,0.772095263,0.25969079100000003,0.579760432
1046,Spain,2009,6.198601246,10.40799141,0.92945385,72.53316498,0.7485147120000001,0.752164721,0.33587706100000003,0.424362034
1047,Spain,2010,6.188262462999999,10.40352535,0.9499403829999999,72.66778564,0.7964955570000001,0.724312365,0.321819484,0.302731603
1048,Spain,2011,6.518249035,10.38992119,0.944443703,73.42340851,0.8186509009999999,0.737269402,0.35610154299999996,0.30866271300000003
1049,Spain,2012,6.290690422000001,10.36271954,0.937023342,73.37998199,0.7545861009999999,0.749276638,0.36647447899999996,0.339146554
1050,Spain,2013,6.150027275,10.34913445,0.928640485,73.37998199,0.759356439,0.6962958570000001,0.371839374,0.18454965899999998
1051,Spain,2014,6.456477642,10.36728287,0.947864413,73.37998199,0.738472342,0.7162659170000001,0.335460007,0.210619807
1052,Spain,2015,6.380663395,10.402863499999999,0.95647186,73.37998199,0.73200047,0.7322694059999999,0.284693688,0.277751327
1070,Sweden,2005,7.376315593999999,10.62580776,0.9514698979999999,70.72361755,0.964395404,0.839870155,0.150766104,0.440848559
1071,Sweden,2007,7.241362572000001,10.69206524,0.916559398,71.03414917,0.90996182,0.796209335,0.17741221199999999,0.562064052
1072,Sweden,2008,7.51599741,10.678689,0.923092127,71.20975494,0.9116092920000001,0.804466605,0.134403035,0.517427444
1073,Sweden,2009,7.265977382999999,10.61693096,0.902532995,71.430336,0.864004612,0.819678426,0.151362836,0.5903376339999999
1074,Sweden,2010,7.496018887000001,10.66657066,0.97024262,71.5181427,0.9046999809999999,0.8330332640000001,0.20011203,0.602851212
1075,Sweden,2011,7.382232189,10.68531418,0.920521259,71.82653046,0.941115439,0.8145614859999999,0.179151982,0.638707519
1076,Sweden,2012,7.560147762000001,10.67504883,0.929397464,71.74086761,0.944382191,0.855099976,0.170226127,0.6264972089999999
1077,Sweden,2013,7.434010506,10.67891121,0.915648043,71.74086761,0.935910523,0.829284012,0.184420303,0.579855025
1078,Sweden,2014,7.239147663,10.69271564,0.932719827,71.74086761,0.9452733990000001,0.8356722590000001,0.20768831699999998,0.563272059
1079,Sweden,2015,7.28892231,10.71233368,0.929459989,71.74086761,0.9350720640000001,0.8179419640000001,0.19099177399999998,0.49930203
